Date,Time Spent (seconds),Time Spent (HH:MM:SS),Number of People,Productivity
2018-03-01T00:00:00,24894,06:54:54,1,2
2018-03-01T00:00:00,6072,01:41:12,1,0
2018-03-01T00:00:00,3015,00:50:15,1,-2
2018-03-01T00:00:00,2380,00:39:40,1,1
2018-03-01T00:00:00,14,00:00:14,1,-1
2018-03-02T00:00:00,5961,01:39:21,1,2
2018-03-02T00:00:00,2135,00:35:35,1,-2
2018-03-02T00:00:00,1640,00:27:20,1,0
2018-03-02T00:00:00,481,00:08:01,1,1
2018-03-03T00:00:00,22931,06:22:11,1,2
2018-03-03T00:00:00,8988,02:29:48,1,1
2018-03-03T00:00:00,6851,01:54:11,1,-2
2018-03-03T00:00:00,4448,01:14:08,1,0
2018-03-04T00:00:00,5555,01:32:35,1,-2
2018-03-04T00:00:00,585,00:09:45,1,2
2018-03-04T00:00:00,383,00:06:23,1,0
2018-03-04T00:00:00,232,00:03:52,1,1
2018-03-05T00:00:00,22915,06:21:55,1,2
2018-03-05T00:00:00,12049,03:20:49,1,1
2018-03-05T00:00:00,6508,01:48:28,1,0
2018-03-05T00:00:00,1336,00:22:16,1,-2
2018-03-06T00:00:00,17773,04:56:13,1,2
2018-03-06T00:00:00,8153,02:15:53,1,1
2018-03-06T00:00:00,2162,00:36:02,1,0
2018-03-06T00:00:00,314,00:05:14,1,-2
2018-03-07T00:00:00,10132,02:48:52,1,2
2018-03-07T00:00:00,8301,02:18:21,1,1
2018-03-07T00:00:00,1805,00:30:05,1,0
2018-03-07T00:00:00,199,00:03:19,1,-2
2018-03-07T00:00:00,2,00:00:02,1,-1
2018-03-08T00:00:00,27672,07:41:12,1,2
2018-03-08T00:00:00,4478,01:14:38,1,0
2018-03-08T00:00:00,3042,00:50:42,1,1
2018-03-08T00:00:00,1812,00:30:12,1,-2
2018-03-09T00:00:00,19491,05:24:51,1,2
2018-03-09T00:00:00,10411,02:53:31,1,1
2018-03-09T00:00:00,2409,00:40:09,1,0
2018-03-09T00:00:00,926,00:15:26,1,-2
2018-03-10T00:00:00,20215,05:36:55,1,2
2018-03-10T00:00:00,8481,02:21:21,1,-2
2018-03-10T00:00:00,6226,01:43:46,1,1
2018-03-10T00:00:00,5969,01:39:29,1,0
2018-03-11T00:00:00,3871,01:04:31,1,-2
2018-03-11T00:00:00,2572,00:42:52,1,2
2018-03-11T00:00:00,2040,00:34:00,1,0
2018-03-11T00:00:00,1228,00:20:28,1,1
2018-03-12T00:00:00,15582,04:19:42,1,1
2018-03-12T00:00:00,13998,03:53:18,1,2
2018-03-12T00:00:00,3434,00:57:14,1,0
2018-03-12T00:00:00,2371,00:39:31,1,-2
2018-03-13T00:00:00,21837,06:03:57,1,2
2018-03-13T00:00:00,9901,02:45:01,1,0
2018-03-13T00:00:00,8516,02:21:56,1,1
2018-03-13T00:00:00,4911,01:21:51,1,-2
2018-03-13T00:00:00,29,00:00:29,1,-1
2018-03-14T00:00:00,30916,08:35:16,1,2
2018-03-14T00:00:00,8298,02:18:18,1,1
2018-03-14T00:00:00,4723,01:18:43,1,0
2018-03-14T00:00:00,1146,00:19:06,1,-2
2018-03-15T00:00:00,32027,08:53:47,1,2
2018-03-15T00:00:00,9363,02:36:03,1,1
2018-03-15T00:00:00,4486,01:14:46,1,0
2018-03-15T00:00:00,3339,00:55:39,1,-2
2018-03-15T00:00:00,72,00:01:12,1,-1
2018-03-16T00:00:00,23389,06:29:49,1,2
2018-03-16T00:00:00,13047,03:37:27,1,1
2018-03-16T00:00:00,4946,01:22:26,1,0
2018-03-16T00:00:00,2248,00:37:28,1,-2
2018-03-16T00:00:00,1,00:00:01,1,-1
2018-03-17T00:00:00,8559,02:22:39,1,-2
2018-03-17T00:00:00,1300,00:21:40,1,1
2018-03-17T00:00:00,770,00:12:50,1,0
2018-03-17T00:00:00,135,00:02:15,1,2
2018-03-17T00:00:00,5,00:00:05,1,-1
2018-03-18T00:00:00,15456,04:17:36,1,-2
2018-03-18T00:00:00,5271,01:27:51,1,1
2018-03-18T00:00:00,4137,01:08:57,1,0
2018-03-18T00:00:00,2477,00:41:17,1,2
2018-03-18T00:00:00,95,00:01:35,1,-1
2018-03-19T00:00:00,15493,04:18:13,1,2
2018-03-19T00:00:00,8270,02:17:50,1,0
2018-03-19T00:00:00,4956,01:22:36,1,1
2018-03-19T00:00:00,2741,00:45:41,1,-2
2018-03-19T00:00:00,4,00:00:04,1,-1
2018-03-20T00:00:00,14576,04:02:56,1,2
2018-03-20T00:00:00,5179,01:26:19,1,0
2018-03-20T00:00:00,3739,01:02:19,1,1
2018-03-20T00:00:00,3216,00:53:36,1,-2
2018-03-20T00:00:00,77,00:01:17,1,-1
2018-03-21T00:00:00,12044,03:20:44,1,2
2018-03-21T00:00:00,4821,01:20:21,1,1
2018-03-21T00:00:00,4658,01:17:38,1,0
2018-03-21T00:00:00,4609,01:16:49,1,-2
2018-03-21T00:00:00,146,00:02:26,1,-1
2018-03-22T00:00:00,18660,05:11:00,1,2
2018-03-22T00:00:00,8156,02:15:56,1,0
2018-03-22T00:00:00,7320,02:02:00,1,-2
2018-03-22T00:00:00,6400,01:46:40,1,1
2018-03-22T00:00:00,105,00:01:45,1,-1
2018-03-23T00:00:00,18956,05:15:56,1,2
2018-03-23T00:00:00,4684,01:18:04,1,0
2018-03-23T00:00:00,4437,01:13:57,1,1
